,Название,Адресс,Сервис,Качество оборудования,Профессионализм персонала,Стоимость услуг,Рейтинг
29,ФГУ «РДКБ» Минздрав России,"Ломоносовский просп., 2/62",3.2669999599456787,4.132999897003174,4.267000198364259,2.799999952316284,7.863885136266428
30,ФГУ «Клиническая больница» Управления делами Президента РФ,"Ленинский пр-т, д. 117, м. «Юго-Западная»",3.867000102996826,4.066999912261963,4.0329999923706055,2.933000087738037,7.855932953962108
31,НУЗ «Центральная клиническая больница № 2 им. Н.А. Семашко ОАО «РЖД»,"ул. Маршала Тимошенко, д. 15",3.5,4.188000202178955,4.125,2.4000000953674316,7.840311673616805
32,ФГУ «Поликлиника № 4» УД ПРФ,"Ломоносовский пр-т, д. 43, стр. 1; м. «Киевская», «Университет»",3.687999963760376,4.063000202178955,4.0,3.0629999637603764,7.815762773972501
33,Федеральное государственное учреждение «Клиническая больница» Управления Делами Президента Российской Федерации,"ул. Лосиноостровская, д. 45",3.875,4.188000202178955,3.8440001010894775,2.4670000076293945,7.813956343015549
34,Филиал «Мединцентр» ГлавУпДК при МИД России,"ул. Б. Пироговская, д. 7; м. «Фрунзенская»",3.5810000896453857,4.25,3.875,2.4000000953674316,7.810532641237981
35,ООО «Скандинавский центр здоровья»,"ул. Заморенова, д. 27; м. «Улица 1905 года», «Краснопресненская»",4.0939998626708975,3.937999963760376,3.9690001010894775,3.125,7.777299775775727
36,ООО «Клиника ЛМС» (Будь здоров),"ул. Усачева, д. 33, стр. 3",3.928999900817871,4.14300012588501,3.678999900817871,2.71399998664856,7.74676466287194
37,ФГУ З Клиническая больница №85 ФМБА России,"ул. Староволынская, д. 10",3.8459999561309814,4.0,4.077000141143799,2.532999992370605,7.723334541832043
38,ФГУ «Поликлиника детская» Управления делами Президента РФ,"ул. 2-я Фрунзенская, д. 9; м. «Фрунзенская»",4.083000183105469,3.8329999446868896,4.166999816894531,2.928999900817871,7.716355394487059
39,ФГУ «Поликлиника № 2» Управления делами Президента РФ,"Смоленская наб., д. 2, корп. 2; м. Смоленская",3.812999963760376,3.937999963760376,3.9690001010894775,3.0629999637603764,7.695695776634371
40,ЗАО «Центральная поликлиника Литфонда»,"Кутузовский пр-т, д. 20; м. «Киевская», «Кутузовская»",3.625,3.9690001010894775,4.063000202178955,2.75,7.668422926747457
41,Детский консультативно-диагностический центр ФГУ «НМХЦ им. Н.И. Пирогова»,"Кутузовский проспект, д. 20; м. «Киевская», «Кутузовская»",3.799999952316284,4.0,3.933000087738037,2.625,7.661289996794538
42,Морозовская детская городская клиническая больница (ГБУЗ «Морозовская ДГКБ ДЗМ»),"ул. Маршала Тимошенко, д. 15",3.0,4.0,4.300000190734863,2.5999999046325684,7.6301275615201085
43,ОАО «Медси II»,"4-й Добрынинский пер., д. 4; м. «Добрынинская»",3.625,4.125,3.7809998989105225,2.25,7.612550108193776
44,ООО «Клиника ЛМС» (Будь здоров),"ул. Тимура Фрунзе, 15/1; м. «Парк Культуры»",3.875,4.063000202178955,3.6559998989105225,2.562999963760376,7.606792562887971
45,ФГУ З Клиническая больница № 83 ФМБА России,"Иваньковское шоссе, д. 3",3.625,4.063000202178955,4.063000202178955,1.8669999837875368,7.605893904246862
46,НУЗ Центральная поликлиника ОАО «РЖД»,"Грузинский пер., д. 3-А м. «Белорусская»",3.219000101089477,3.9690001010894775,4.031000137329103,2.562999963760376,7.517217950814746
47,ФГУ Центральная Клиническая Больница Гражданской Авиации,"2-й Боткинский пер., д. 5, корп. 5",3.7330000400543213,4.0,3.933000087738037,1.7999999523162842,7.4901954445107375
48,Детская городская клиническая больница № 9 им. Г.Н. Сперанского,"Открытое шоссе, квартал 40",2.867000102996826,3.933000087738037,4.132999897003174,2.571000099182129,7.439712219214405
49,ФГУ «Российский научный центр рентгенорадиологии» (РНЦРР),"ш. Энтузиастов, д. 62",3.428999900817871,3.928999900817871,4.0,1.6150000095367432,7.333795149197749
50,ОАО «Лечебный центр»,"2-я Фрунзенская ул., д. 4; м. «Фрунзенская»",3.6440000534057617,3.75,3.7809998989105225,2.25,7.207456085819002
51,Поликлиника Управления Делами Президента РФ,"4-й Добрынинский пер., д. 4; м. «Добрынинская»",3.5999999046325684,3.7330000400543213,3.799999952316284,2.187999963760376,7.175259017650527
52,ООО «Медицинская клиника «Семейный доктор»,"ул. Цандера, 5; м. «ВДНХ»",3.78600001335144,3.71399998664856,3.71399998664856,2.0,7.125149786051304
53,ОАО «Поликлиника «МЕДРОСКОНТРАКТ»,"пер. Сивцев Вражек, 26/28; м. «Смоленская»",3.625,3.625,3.812999963760376,2.125,7.057786905502187
54,ГУЗ г. Москвы «Городская поликлиника №220» Департамента здравоохранения г. Москвы,"Грохольский пер., д. 31; м. «Проспект Мира»",3.5309998989105225,3.75,3.7190001010894775,1.75,7.056535019467559
55,ООО «Дирекция» (Поликлиника РУ),"Романов пер., д. 2; м. «Библиотека им. Ленина»",3.867000102996826,3.5999999046325684,3.532999992370605,2.0710000991821294,6.948802808850139
56,ЗАО «КООПВНЕШТОРГ»,"Мичуринский пр-т, д. 6; м. «Университет»",3.687999963760376,3.594000101089477,3.687999963760376,1.437999963760376,6.852167993125312
57,ЗАО «Группа компаний «Медси»,"2-й Тверской-Ямской пер., д. 10; м. «Маяковская»",2.812999963760376,4.0,3.125,1.375,6.801016745283662
58,ЗАО «Медицинские услуги»,"2-й Тверской-Ямской пер., д. 10; м. «Маяковская»",3.1429998874664307,3.5,4.0,1.375,6.748789568218548
59,ООО «Управляющая компания «Медсервис»,"Мичуринский пр-т, д. 6",3.4170000553131104,3.3329999446868896,3.5,1.5329999923706057,6.4286772206570815
